File name,% time in bottom 1/2, , , , , , , , , ,% time in bottom 1/4, , , , , , , , , ,% time in bottom 1/3, , , , , , , , , ,
 ,0-1 min,1-2 min,2-3 min,3-4 min,4-5 min,5-6 min,6-7 min,7-8 min,8-9 min,9-10 min,0-1 min,1-2 min,2-3 min,3-4 min,4-5 min,5-6 min,6-7 min,7-8 min,8-9 min,9-10 min,0-1 min,1-2 min,2-3 min,3-4 min,4-5 min,5-6 min,6-7 min,7-8 min,8-9 min,9-10 min, ,
raw/ILRDM_NTDMM4_Raw.xls_Tank_1,37.33333333333333,42.5555555555,18.833333333333336,48.777777777833336,51.277777777833336,42.5,28.888888888833335,35.50000000000001,56.777777777833336,70.27777777783334,21.388888888833335,20.166666666666664,2.5,10.444444444450001,13.888888888883333,13.111111111116665,11.611111111116665,13.222222222216667,38.388888888833335,60.5,26.111111111166668,29.9444444445,8.0,25.944444444499997,26.0555555555,23.444444444499997,16.888888888833335,22.888888888833332,46.388888888833335,63.83333333333333,[]
raw/ILRDM_NTDMM4_Raw.xls_Tank_2,28.388888888833335,41.388888888833335,38.55555555550001,49.611111111166665,52.0555555555,61.38888888883333,35.777777777833336,62.0,68.27777777783334,72.33333333333333,18.111111111166668,22.222222222166668,26.333333333333336,27.9444444445,28.4444444445,30.277777777833332,24.000000000000004,31.888888888833332,45.666666666666664,48.722222222166664,22.388888888833332,29.277777777833336,30.666666666666664,38.55555555550001,36.888888888833335,45.94444444450001,30.055555555500003,46.4444444445,57.333333333333336,58.11111111116667,[]
raw/ILRDM_NTDMF5_Raw.xls_Tank_1,97.77777777783334,100.0,77.83333333333334,74.5555555555,85.27777777783334,25.611111111166668,75.94444444450001,79.66666666666666,7.222222222216666,47.11111111116667,96.16666666666667,97.22222222216666,45.5,32.66666666666667,15.944444444450001,0.0,26.222222222166664,27.500000000000004,0.6666666666666667,21.888888888833332,96.61111111116666,100.0,58.333333333333336,51.88888888883334,42.5555555555,0.33333333333333337,42.5,55.722222222166664,1.1111111111116667,30.888888888833332,[]
raw/ILRDM_NTDMF5_Raw.xls_Tank_2,74.66666666666666,54.333333333333336,63.94444444449999,53.0555555555,56.388888888833335,36.111111111166665,57.666666666666664,27.38888888883333,52.44444444450001,45.0555555555,55.44444444449999,31.666666666666664,36.166666666666664,11.555555555549999,20.888888888833332,8.055555555549999,19.9444444445,1.5555555555549998,9.111111111116667,20.222222222166668,65.4444444445,43.388888888833335,46.222222222166664,21.333333333333336,35.22222222216667,18.888888888833335,33.5,8.888888888883333,27.9444444445,31.888888888833332,[]
raw/ILRDM_NTDMF7_Raw.xls_Tank_1,20.166666666666664,38.05555555550001,22.333333333333332,50.0555555555,36.5,33.83333333333333,33.388888888833335,23.5,40.5,17.777777777833332,7.722222222216667,21.277777777833336,6.94444444445,20.0555555555,16.22222222221667,12.166666666666666,12.333333333333334,14.722222222216667,15.666666666666668,0.0,10.388888888883335,27.0555555555,10.5,30.11111111116667,24.000000000000004,19.277777777833332,17.0,20.666666666666668,28.500000000000004,2.9444444444499998,[]
raw/ILRDM_NTDMF7_Raw.xls_Tank_2,3.7777777777833332,25.555555555500003,55.38888888883334,49.9444444445,43.5,54.88888888883333,33.5555555555,41.16666666666667,67.5,33.222222222166664,1.6666666666666667,10.222222222216667,28.888888888833335,25.444444444500004,27.5555555555,33.722222222166664,5.888888888883334,7.222222222216666,31.722222222166668,15.444444444450001,2.333333333333333,15.888888888883335,38.55555555550001,34.111111111166665,35.333333333333336,43.222222222166664,14.222222222216669,15.944444444450001,48.833333333333336,20.555555555500003,[]
raw/ILRDM_NTDFM6_Raw.xls_Tank_1,61.0,55.666666666666664,88.0,86.61111111116668,70.11111111116666,61.4444444445,41.277777777833336,27.111111111166668,55.44444444449999,65.72222222216666,34.88888888883333,25.33333333333333,38.111111111166665,36.277777777833336,13.611111111116667,6.888888888883334,5.777777777783333,1.6111111111116665,33.277777777833336,34.0555555555,46.611111111166665,38.166666666666664,63.277777777833336,65.5555555555,38.99999999999999,26.333333333333336,16.05555555555,12.944444444450001,42.888888888833335,46.388888888833335,[]
raw/ILRDM_NTDFM6_Raw.xls_Tank_2,51.83333333333333,62.77777777783334,64.11111111116666,53.61111111116668,55.49999999999999,66.33333333333333,51.88888888883334,25.222222222166668,24.4444444445,16.55555555555,17.5,28.999999999999996,30.666666666666664,10.833333333333334,24.777777777833336,37.66666666666667,20.722222222166668,0.6666666666666667,1.1666666666666665,0.9444444444450001,27.88888888883333,43.666666666666664,46.5555555555,22.722222222166664,40.5,53.111111111166665,32.83333333333333,4.611111111116666,8.94444444445,4.333333333333334,[]
raw/ILRDM_NTDFF2_Raw.xls_Tank_1,98.33333333333333,91.4444444445,93.61111111116666,79.27777777783334,45.277777777833336,68.88888888883334,69.44444444450001,49.388888888833335,44.111111111166665,47.61111111116667,96.9444444445,70.38888888883334,74.05555555549999,63.61111111116667,32.111111111166665,57.9444444445,53.5555555555,38.0,22.388888888833332,16.44444444445,97.94444444450001,74.38888888883334,81.16666666666667,71.83333333333334,34.833333333333336,62.33333333333333,61.0,43.833333333333336,29.611111111166665,30.055555555500003,[]
raw/ILRDM_NTDFF2_Raw.xls_Tank_2,98.77777777783334,95.0555555555,100.0,92.16666666666666,61.38888888883333,86.0555555555,41.4444444445,40.33333333333333,79.16666666666666,61.61111111116667,97.27777777783334,64.22222222216666,98.11111111116666,74.33333333333334,45.5555555555,79.11111111116666,39.49999999999999,29.5,69.0,58.9444444445,98.0,78.38888888883334,98.77777777783334,82.61111111116666,52.83333333333333,81.38888888883334,40.11111111116667,33.5,72.94444444450001,60.05555555549999,[]
