File name,Total time, ,Time %, ,Average velocity, ,Total distance, ,Total time, ,Time %, ,Average velocity, ,Total distance, ,Total time, ,Time %, ,Average velocity, ,Total distance, ,Total time, ,Time %, ,Average velocity, ,Total distance, ,Latency for 1st entry,Latency for 2nd entry,No. of transitions to top half,Total freeze time,No. of freezing episodes
 ,centre,wall,centre,wall,centre,wall,centre,wall,bottom 1/4,top 3/4,bottom 1/4,top 3/4,bottom 1/4,top 3/4,bottom 1/4,top 3/4,bottom 1/2,top 1/2,bottom 1/2,top 1/2,bottom 1/2,top 1/2,bottom 1/2,top 1/2,bottom 3/4,top 1/4,bottom 3/4,top 1/4,bottom 3/4,top 1/4,bottom 3/4,top 1/4
raw/NTD_DurianKO1.xls_Tank_1,75.5,519.8,12.68268100117588,87.31731899882412,69.9267732016,65.0468501435,5279.471376719124,33811.352794597384,420.7,174.6,70.67025029396943,29.32974970603057,63.9165005744,69.8805973061,26889.671791670142,12201.152379646393,495.0,100.3,83.15135225936503,16.848647740634974,64.1602597235,73.0956681771,31759.328563155275,7331.495608161209,549.3,46.0,92.27280362842264,7.727196371577364,64.7348026829,76.7825427744,35558.82711369201,3531.9970576244905,59.4,69.3,68,8.6,0,[]
raw/NTD_DurianKO1.xls_Tank_2,194.3,402.8,32.54061296265282,67.45938703734717,52.999836116,50.4541500757,10297.868157332752,20322.931740507916,125.1,472.0,20.951264444816612,79.04873555518338,43.2267947631,53.417643608,5407.672024862799,25213.127872977853,282.1,315.0,47.245017584994144,52.754982415005856,47.1573713734,54.97684236,13303.09446444702,17317.70543339362,442.6,154.5,74.12493719644951,25.87506280355049,49.9940906398,54.9735617518,22127.384517194103,8493.415380646544,25.4,30.5,21,2.2,0,[]
raw/NTD_DurianKO2.xls_Tank_1,156.1,438.8,26.23970415195831,73.7602958480417,52.8984967925,45.1778503508,8257.45534931477,19824.04082394237,185.8,409.1,31.232139855437886,68.76786014456212,40.8964023455,50.068307327,7598.551555787244,20482.94461746991,319.7,275.2,53.74012439065389,46.25987560934611,44.6075373399,50.2197180076,14261.029687564715,13820.466485692481,461.9,133.0,77.64330139519247,22.356698604807534,46.2189117868,50.6239152552,21348.515354312804,6732.9808189442665,38.4,42.0,95,10.1,0,[]
raw/NTD_DurianKO2.xls_Tank_2,144.1,452.1,24.16974169741697,75.83025830258303,58.3098568962,48.3929285873,8402.450378747379,21878.443104317623,310.5,285.7,52.07983898020798,47.92016101979202,42.9754442886,59.2825269215,13343.875451597602,16937.01803146745,446.2,150.0,74.84065749748406,25.15934250251594,46.723257506,62.8865059593,20847.91749917572,9432.97598388925,543.6,52.6,91.17745722911775,8.82254277088225,49.3006970369,66.1793628099,26799.858909263785,3481.0345738011342,98.3,168.5,64,38.5,17,[]
raw/NTD_DurianKO3.xls_Tank_1,138.7,458.2,23.236723069190816,76.76327693080918,47.7418100053,48.378836914,6621.789047742035,22167.183163984228,275.6,321.3,46.171888088457024,53.828111911542976,45.839088442,50.2823509091,12633.252774616623,16155.71943710967,411.9,185.0,69.00653375774837,30.99346624225163,45.7631138343,53.7251109913,18849.826588338,9939.1456233883,519.9,77.0,87.10001675322499,12.899983246775008,45.6264191517,65.815542919,23721.175316966906,5067.796894759336,82.6,99.1,572,10.7,0,[]
raw/NTD_DurianKO3.xls_Tank_2,180.0,416.8,30.160857908847188,69.83914209115281,54.0298479235,44.7124159167,9725.372626235194,18636.135044064573,290.0,306.8,48.59249329758713,51.40750670241287,40.198999412,54.4452338684,11657.709829469572,16703.79784083019,461.9,134.9,77.3961126005362,22.6038873994638,42.7741616355,63.7814849582,19757.3852594413,8604.12241085845,561.3,35.5,94.05160857908848,5.94839142091152,45.771999218,75.2023780062,25691.823161079097,2669.684509220641,8.0,51.6,165,22.0,1,[]
raw/NTD_DurianKO4.xls_Tank_1,180.6,404.3,30.8770730039323,69.1229269960677,42.6306598759,44.0752455313,7699.097173593156,17819.621858285314,251.3,333.6,42.964609334929044,57.035390665070956,43.4105728524,43.7938908395,10909.07695781891,14609.642074059626,434.3,150.6,74.25200889040862,25.747991109591382,43.8578387079,42.9698512022,19047.45935083247,6471.259681046007,538.7,46.2,92.10121388271499,7.898786117285013,43.4425933935,45.8050623549,23402.52506108012,2116.193970798372,3.5,9.7,78,3.7,0,[]
raw/NTD_DurianKO4.xls_Tank_2,106.8,478.1,18.25953154385365,81.74046845614635,90.4419279677,64.7279423377,9659.1979069487,30946.429321644187,333.0,251.9,56.93280902718414,43.06719097281586,61.5140492219,79.8787167435,20484.17839090829,20121.448837684628,454.4,130.5,77.68849375961703,22.31150624038297,65.9135260448,81.6438383434,29951.106234776616,10654.520993816284,545.0,39.9,93.17832108052659,6.821678919473413,69.0642599271,74.3259518379,37640.021660261664,2965.6055683312743,83.5,91.1,90,11.6,0,[]
raw/NTD_DurianKO5.xls_Tank_1,121.8,472.8,20.48435923309788,79.51564076690212,51.7031845917,49.6923105927,6297.447883266951,23494.524538216338,333.1,261.5,56.020854355869496,43.979145644130504,48.2292125448,52.4926257469,16065.150698677604,13726.821722805755,453.9,140.7,76.33703329969728,23.662966700302718,48.58954248,54.9906112281,22054.79333168628,7737.179089797033,539.6,55.0,90.75008409014464,9.24991590985536,49.127335542,59.6884013281,26509.110258438333,3282.862163045022,39.2,55.7,239,10.3,0,[]
raw/NTD_DurianKO5.xls_Tank_2,103.5,490.7,17.418377650622684,82.58162234937731,72.8903708802,54.3257211341,7544.153386105075,26657.63145048751,390.0,204.2,65.63446650959273,34.36553349040727,51.8978552951,68.3722878624,20240.16356508096,13961.621271511629,548.7,45.5,92.34264557388084,7.657354426119156,56.6710329341,68.2722851791,31095.395770941752,3106.3890656508966,585.6,8.6,98.55267586671154,1.4473241332884612,57.4908099326,62.2286569855,33666.618296517525,535.1665400751193,74.4,103.1,35,49.5,20,[]
