File name,Total time, ,Time %, ,Average velocity, ,Total distance, ,Total time, ,Time %, ,Average velocity, ,Total distance, ,Total time, ,Time %, ,Average velocity, ,Total distance, ,Total time, ,Time %, ,Average velocity, ,Total distance, ,Total time, ,Time %, ,Average velocity, ,Total distance, ,Latency for 1st entry,Latency for 2nd entry,No. of transitions to top half,Total freeze time,No. of freezing episodes,No. of darting episodes
 ,centre,wall,centre,wall,centre,wall,centre,wall,bottom 1/4,top 3/4,bottom 1/4,top 3/4,bottom 1/4,top 3/4,bottom 1/4,top 3/4,bottom 1/2,top 1/2,bottom 1/2,top 1/2,bottom 1/2,top 1/2,bottom 1/2,top 1/2,bottom 3/4,top 1/4,bottom 3/4,top 1/4,bottom 3/4,top 1/4,bottom 3/4,top 1/4,bottom 1/3,top 2/3,bottom 1/3,top 2/3,bottom 1/3,top 2/3,bottom 1/3,top 2/3
raw/NTD_s13mz31F_Raw.xls_Tank_1,155.0,144.0,51.83946488294314,48.16053511705686,64.59116974318633,50.670245798772605,10043.926986732165,7313.405476956175,120.0,179.0,40.13377926421405,59.86622073578595,44.962051906877974,66.58665706880866,5421.674092437702,11935.658371250645,184.0,115.0,61.53846153846154,38.46153846153846,49.58939400462902,71.12172914205127,9136.845845352886,8220.486618335412,251.0,48.0,83.94648829431438,16.053511705685622,55.28453353827041,71.4191923912186,13899.453232080152,3457.8792316081726,147.0,152.0,49.163879598662206,50.836120401337794,46.80198772184313,68.6739376347095,6918.8938515458,10438.438612142514,11,22,36,0,0,2,[]
raw/NTD_s13mz31F_Raw.xls_Tank_2,159.0,139.0,53.355704697986575,46.644295302013425,78.02123707980675,60.79293812578926,12476.896163012427,8505.945351099987,72.0,227.0,24.08026755852843,75.91973244147157,53.44472576267299,75.2236327082264,3856.9278008729057,17125.91371323956,136.0,163.0,45.48494983277592,54.51505016722408,62.702205041378186,76.0788972428443,8569.301447321664,12413.540066790769,212.0,87.0,70.90301003344482,29.096989966555185,70.11185136462666,69.66665731464818,14875.397889528296,6107.443624584151,96.0,203.0,32.10702341137124,67.89297658862876,56.75371895208555,76.22762086687506,5457.816064225551,15525.025449886867,8,28,76,0,0,6,[]
raw/NTD_s13mz5_Raw.xls_Tank_1,226.0,73.0,75.58528428093646,24.414715719063537,93.48714954270537,78.04763867663675,21143.677079908564,5749.509382512233,59.0,240.0,19.732441471571907,80.2675585284281,87.80705369454891,90.16088769457052,5224.519694825659,21668.66676759514,163.0,136.0,54.515050167224075,45.484949832775925,91.09922078525148,88.0045084619433,14909.905801852794,11983.280660567922,251.0,48.0,83.94648829431438,16.053511705685622,92.12518471575117,77.06807945202743,23161.806948951828,3731.3795134689917,98.0,201.0,32.77591973244147,67.22408026755852,88.08319230719901,90.48373519358975,8690.874974310305,18202.311488110474,8,10,95,0,0,0,[]
raw/NTD_s13mz5_Raw.xls_Tank_2,122.0,176.0,40.939597315436245,59.060402684563755,69.16624891932649,54.059815989475986,8501.684763000556,9564.082537138116,125.0,174.0,41.80602006688963,58.19397993311037,52.33652391156152,65.9644633698705,6576.9565048862305,11488.810795252451,181.0,118.0,60.535117056856194,39.464882943143806,57.88069582741142,63.899357967494495,10514.993166979737,7550.77413315893,235.0,64.0,78.59531772575251,21.40468227424749,60.60951211222751,58.94004777135561,14288.692572124277,3777.074728014372,147.0,152.0,49.163879598662206,50.836120401337794,54.50315180330294,65.83221331117812,8048.298841287745,10017.468458850944,5,10,60,0,0,0,[]
raw/NTD_s13mz17MF_Raw.xls_Tank_1,193.0,106.0,64.54849498327759,35.45150501672241,95.39670034631663,80.77151174365646,18483.110692098857,8568.511295806204,42.0,257.0,14.046822742474916,85.95317725752508,61.16461250071795,95.0212145011317,2599.4961229471814,24452.125864957932,116.0,183.0,38.79598662207358,61.20401337792642,80.37886892993072,96.44796709008048,9337.345365693613,17714.276622211477,211.0,88.0,70.5685618729097,29.431438127090303,89.23295025348509,92.600318032881,18895.077307842137,8156.544680062914,66.0,233.0,22.073578595317723,77.92642140468227,69.634967030097,96.07067416092207,4619.119571329762,22432.502416575342,1,4,116,0,0,0,[]
raw/NTD_s13mz17MF_Raw.xls_Tank_2,138.0,161.0,46.15384615384615,53.84615384615385,51.96803958326966,45.99263639897771,7184.581564053666,7431.643498134794,64.0,235.0,21.40468227424749,78.59531772575251,42.45105088194927,50.470809668855,2734.555194312237,11881.669867876262,109.0,190.0,36.45484949832776,63.54515050167224,46.37399613917297,50.11187865012168,5074.088077561177,9542.136984627308,174.0,125.0,58.19397993311036,41.80602006688964,48.760413043551004,48.730255492295605,8520.882271027163,6095.342791161296,79.0,220.0,26.421404682274247,73.57859531772576,43.68480522407515,50.569450140945804,3465.6612144433025,11150.563847745203,24,36,7,0,0,0,[]
raw/NTD_s13mz23MF_Raw.xls_Tank_1,113.0,186.0,37.79264214046823,62.20735785953177,79.7328292892728,65.31818519469005,9076.253734095573,12149.18253787899,102.0,197.0,34.11371237458194,65.88628762541806,59.391548461934676,76.72647779314931,6097.5323087586485,15127.903963215953,151.0,148.0,50.50167224080268,49.49832775919732,64.37359986308701,77.35225183403011,9757.964845912938,11467.471426061627,200.0,99.0,66.88963210702342,33.11036789297658,70.87297597075106,70.62425151400801,14227.74992612827,6997.686345846295,123.0,176.0,41.1371237458194,58.8628762541806,61.279110870109356,77.40681739840404,7537.330637023476,13688.105634951127,7,10,34,0,0,1,[]
raw/NTD_s13mz23MF_Raw.xls_Tank_2,160.0,139.0,53.51170568561873,46.48829431438127,62.59765550639006,52.961385069140306,10052.140271734483,7374.8728708777935,45.0,254.0,15.050167224080269,84.94983277591973,50.65868604382476,59.448932926203035,2292.3055434830712,15134.70759912922,90.0,209.0,30.100334448160538,69.89966555183946,54.66228930275817,59.616224718605054,4942.381991124388,12484.631151487903,182.0,117.0,60.86956521739131,39.13043478260869,59.7851429559249,55.54804115417512,10890.860300137663,6536.152842474601,57.0,242.0,19.063545150501675,80.93645484949832,51.50227685919824,59.69311746165761,2961.3809194038977,14465.632223208397,21,27,39,0,0,2,[]
raw/NTD_s13mz7FM_Raw.xls_Tank_1,168.0,131.0,56.187290969899664,43.812709030100336,115.37877618620585,101.90157660807816,19460.553675073406,13366.090131759587,128.0,171.0,42.80936454849498,57.19063545150502,106.30110336206015,111.86125619610739,13633.11650618421,19193.52730064879,213.0,86.0,71.23745819397993,28.762541806020067,110.42884079589231,107.14385565918877,23576.557601589713,9250.086205243288,274.0,25.0,91.63879598662207,8.361204013377929,111.49699907844251,87.8928358789623,30578.052088929504,2248.591717903452,160.0,139.0,53.51170568561873,46.48829431438127,107.12070795470554,112.20713366443933,17201.800352393155,15624.843454439862,4,8,92,0,0,15,[]
raw/NTD_s13mz7FM_Raw.xls_Tank_2,90.0,209.0,30.100334448160538,69.89966555183946,81.30774610635861,60.81198917202846,7331.248440589991,12750.247154735302,125.0,174.0,41.80602006688963,58.19397993311037,57.357300607665074,73.86010387782467,7174.4423510087645,12907.053244316532,166.0,133.0,55.51839464882943,44.48160535117057,62.05906230310548,73.10805660499811,10327.662376608469,9753.833218716845,221.0,78.0,73.91304347826086,26.08695652173914,66.43023640301698,68.52187336021159,14725.36916100213,5356.126434323206,139.0,160.0,46.48829431438127,53.51170568561873,58.58633374645314,74.29914854299932,8187.440141066825,11894.055454258494,3,15,25,0,0,4,[]
