"X, Y, Velocity, Distance"
178.94736842105263,103.38345864661653,0.0001,0.0001
185.7142857142857,121.42857142857142,192.72188899212469,19.27218889921247
184.96240601503757,110.15037593984962,113.03230359678867,11.303230359678867
187.21804511278194,117.66917293233082,78.498545179778546,7.8498545179778549
190.97744360902254,130.82706766917292,136.84417085113748,13.684417085113747
203.75939849624058,133.08270676691728,129.79456016264703,12.979456016264702
198.49624060150376,155.26315789473682,227.96342760594769,22.796342760594769
190.22556390977442,161.2781954887218,102.26669555440198,10.226669555440198
211.2781954887218,156.01503759398494,217.00555924303481,21.70055592430348
211.2781954887218,156.01503759398494,0.0,0.0
204.5112781954887,141.72932330827066,158.07365444833559,15.807365444833559
200.75187969924812,142.10526315789474,37.781487297446738,3.7781487297446739
199.24812030075188,102.63157894736841,395.02316862190776,39.502316862190774
196.2406015037594,86.46616541353383,164.42802803480475,16.442802803480475
184.21052631578945,150.75187969924812,654.01649598864856,65.40164959886485
183.8345864661654,151.8796992481203,11.88826188033209,1.1888261880332089
183.45864661654133,153.00751879699249,11.888261880332449,1.1888261880332449
177.4436090225564,152.6315789473684,60.267742638651683,6.0267742638651685
182.33082706766916,154.88721804511277,53.82639497472308,5.382639497472308
178.94736842105263,154.5112781954887,34.04280127119322,3.4042801271193222
172.93233082706766,155.26315789473682,60.618479310515497,6.0618479310515498
169.17293233082705,157.14285714285714,42.031352960522483,4.2031352960522481
161.65413533834587,157.14285714285714,75.187969924811853,7.5187969924811853
149.24812030075188,153.38345864661653,129.63112518471183,12.963112518471183
150.0,153.7593984962406,8.4062705921045477,0.84062705921045477
152.25563909774436,151.12781954887217,34.659941568770407,3.4659941568770405
151.8796992481203,150.0,11.88826188033218,1.188826188033218
160.90225563909775,147.74436090225564,93.002382532729314,9.3002382532729317
165.0375939849624,145.86466165413532,45.424984863137482,4.5424984863137485
171.8045112781955,142.85714285714286,74.05156241951957,7.405156241951957
181.203007518797,142.10526315789474,94.285234616424447,9.4285234616424454
186.09022556390977,134.96240601503757,86.54785288136361,8.6547852881363614
187.21804511278194,134.58646616541353,11.88826188033209,1.1888261880332089
190.22556390977442,132.70676691729324,35.46609448141578,3.5466094481415782
190.22556390977442,123.68421052631578,90.225563909774564,9.0225563909774564
189.84962406015038,121.42857142857142,22.867528309391812,2.2867528309391814
187.593984962406,123.30827067669172,29.361840886867164,2.9361840886867165
181.203007518797,123.68421052631578,64.020249495963867,6.4020249495963863
179.32330827067668,124.4360902255639,20.244980477949426,2.0244980477949426
172.18045112781954,124.06015037593984,71.527434550527957,7.1527434550527955
166.9172932330827,123.30827067669172,53.165923397484853,5.3165923397484853
164.28571428571428,124.81203007518796,30.309239655257624,3.0309239655257625
153.00751879699249,124.06015037593984,113.03230359678867,11.303230359678867
152.25563909774436,125.56390977443608,16.812541184208968,1.6812541184208967
142.85714285714286,126.3157894736842,94.285234616424447,9.4285234616424454
142.85714285714286,126.3157894736842,0.0,0.0
136.8421052631579,127.81954887218045,62.001588355152876,6.2001588355152872
127.44360902255639,125.93984962406014,95.846231458510985,9.5846231458510989
123.30827067669172,127.06766917293233,42.863737785681941,4.2863737785681941
116.54135338345864,127.06766917293233,67.669172932330781,6.7669172932330781
108.27067669172932,128.57142857142856,84.062705921044682,8.4062705921044678
103.75939849624059,130.0751879699248,47.553047521329077,4.7553047521329077
100.37593984962406,130.82706766917292,34.659941568770165,3.4659941568770165
97.74436090225564,131.57894736842104,27.368834170227551,2.7368834170227552
92.10526315789473,132.33082706766916,56.89002237000593,5.6890022370005928
90.22556390977444,132.70676691729324,19.169246291702112,1.9169246291702113
86.09022556390977,132.70676691729324,41.353383458646675,4.1353383458646675
83.08270676691728,133.08270676691728,30.309239655257731,3.0309239655257731
159.02255639097743,165.78947368421052,826.83694662895982,82.683694662895988
159.77443609022555,170.30075187969925,45.735056618783673,4.5735056618783672
159.3984962406015,170.6766917293233,5.3165923397482846,0.5316592339748285
159.77443609022555,172.18045112781954,15.500397088788185,1.5500397088788185
159.77443609022555,171.8045112781955,3.7593984962404647,0.37593984962404647
159.77443609022555,171.8045112781955,0.0,0.0
158.64661654135338,169.92481203007517,21.920871785132789,2.1920871785132787
62.78195488721804,133.08270676691728,1027.0040931896744,102.70040931896744
159.3984962406015,170.30075187969925,1035.371379994016,103.53713799940161
63.1578947368421,134.58646616541353,1026.5360968756554,102.65360968756553
67.66917293233082,137.593984962406,54.218816172390838,5.4218816172390838
67.66917293233082,139.84962406015038,22.556390977443641,2.2556390977443641
75.56390977443608,140.97744360902254,79.748885096227113,7.9748885096227111
76.3157894736842,142.10526315789474,13.554704043097841,1.355470404309784
81.203007518797,142.4812030075188,49.016559437613957,4.901655943761396
80.07518796992481,143.98496240601503,18.796992481203034,1.8796992481203034
86.09022556390977,142.85714285714286,61.198573669547692,6.1198573669547693
90.97744360902256,141.35338345864662,51.133347777200989,5.113334777720099
97.74436090225564,140.22556390977442,68.602584928175389,6.8602584928175387
103.38345864661653,138.72180451127818,58.361559008496279,5.8361559008496275
107.5187969924812,138.72180451127818,41.353383458646675,4.1353383458646675
114.66165413533834,137.593984962406,72.313473916057632,7.2313473916057633
121.42857142857142,137.96992481203006,67.773520215488475,6.7773520215488476
126.3157894736842,137.96992481203006,48.872180451127889,4.8872180451127889
134.58646616541353,137.21804511278194,83.047827196896677,8.3047827196896673
139.09774436090225,137.96992481203006,45.735056618783673,4.5735056618783672
143.60902255639098,137.593984962406,45.269152551850787,4.5269152551850791
149.62406015037593,137.593984962406,60.150375939849425,6.0150375939849425
